x y pred
0.4000 0.7000 0.6753
0.4500 0.7000 0.6508
0.5000 0.7000 0.6246
0.5500 0.7000 0.5968
0.6000 0.7000 0.5679
0.6500 0.7000 0.5380
0.7000 0.7000 0.5075
0.7500 0.7000 0.4766
0.8000 0.7000 0.4457
0.8500 0.7000 0.4148
0.9000 0.7000 0.3843
0.9500 0.7000 0.3545
1.0000 0.7000 0.3254
1.0500 0.7000 0.2973
1.1000 0.7000 0.2703
1.1500 0.7000 0.2445
1.2000 0.7000 0.2201
-0.2000 0.7500 0.8197
-0.1500 0.7500 0.8272
-0.1000 0.7500 0.8312
-0.0500 0.7500 0.8315
-0.0000 0.7500 0.8283
0.0500 0.7500 0.8214
0.1000 0.7500 0.8109
0.1500 0.7500 0.7969
0.2000 0.7500 0.7796
0.2500 0.7500 0.7592
0.3000 0.7500 0.7357
0.3500 0.7500 0.7096
0.4000 0.7500 0.6810
0.4500 0.7500 0.6504
0.5000 0.7500 0.6179
0.5500 0.7500 0.5839
0.6000 0.7500 0.5488
0.6500 0.7500 0.5130
0.7000 0.7500 0.4766
0.7500 0.7500 0.4402
0.8000 0.7500 0.4040
0.8500 0.7500 0.3683
0.9000 0.7500 0.3333
0.9500 0.7500 0.2994
1.0000 0.7500 0.2668
1.0500 0.7500 0.2356
1.1000 0.7500 0.2060
1.1500 0.7500 0.1781
1.2000 0.7500 0.1522
-0.2000 0.8000 0.8727
-0.1500 0.8000 0.8783
-0.1000 0.8000 0.8799
-0.0500 0.8000 0.8775
-0.0000 0.8000 0.8710
0.0500 0.8000 0.8604
0.1000 0.8000 0.8458
0.1500 0.8000 0.8274
0.2000 0.8000 0.8052
0.2500 0.8000 0.7796
0.3000 0.8000 0.7508
0.3500 0.8000 0.7190
0.4000 0.8000 0.6847
0.4500 0.8000 0.6482
0.5000 0.8000 0.6098
0.5500 0.8000 0.5699
0.6000 0.8000 0.5290
0.6500 0.8000 0.4875
0.7000 0.8000 0.4457
0.7500 0.8000 0.4040
0.8000 0.8000 0.3628
0.8500 0.8000 0.3225
0.9000 0.8000 0.2834
0.9500 0.8000 0.2457
1.0000 0.8000 0.2097
1.0500 0.8000 0.1756
1.1000 0.8000 0.1436
1.1500 0.8000 0.1138
1.2000 0.8000 0.0864
-0.2000 0.8500 0.9207
-0.1500 0.8500 0.9245
-0.1000 0.8500 0.9239
-0.0500 0.8500 0.9189
-0.0000 0.8500 0.9093
0.0500 0.8500 0.8952
0.1000 0.8500 0.8768
0.1500 0.8500 0.8541
0.2000 0.8500 0.8274
0.2500 0.8500 0.7969
0.3000 0.8500 0.7630
0.3500 0.8500 0.7260
0.4000 0.8500 0.6863
0.4500 0.8500 0.6442
0.5000 0.8500 0.6003
0.5500 0.8500 0.5549
0.6000 0.8500 0.5086
0.6500 0.8500 0.4617
0.7000 0.8500 0.4148
0.7500 0.8500 0.3683
0.8000 0.8500 0.3225
0.8500 0.8500 0.2779
0.9000 0.8500 0.2349
0.9500 0.8500 0.1937
1.0000 0.8500 0.1546
1.0500 0.8500 0.1178
1.1000 0.8500 0.0837
1.1500 0.8500 0.0522
1.2000 0.8500 0.0235
-0.2000 0.9000 0.9634
-0.1500 0.9000 0.9655
-0.1000 0.9000 0.9628
-0.0500 0.9000 0.9552
-0.0000 0.9000 0.9427
0.0500 0.9000 0.9254
0.1000 0.9000 0.9034
0.1500 0.9000 0.8768
0.2000 0.9000 0.8458
0.2500 0.9000 0.8109
0.3000 0.9000 0.7723
0.3500 0.9000 0.7304
0.4000 0.9000 0.6856
0.4500 0.9000 0.6385
0.5000 0.9000 0.5895
0.5500 0.9000 0.5390
0.6000 0.9000 0.4877
0.6500 0.9000 0.4359
0.7000 0.9000 0.3843
0.7500 0.9000 0.3333
0.8000 0.9000 0.2834
0.8500 0.9000 0.2349
0.9000 0.9000 0.1883
0.9500 0.9000 0.1438
1.0000 0.9000 0.1019
1.0500 0.9000 0.0628
1.1000 0.9000 0.0267
1.1500 0.9000 -0.0064
1.2000 0.9000 -0.0362
-0.2000 0.9500 1.0004
-0.1500 0.9500 1.0009
-0.1000 0.9500 0.9962
-0.0500 0.9500 0.9863
-0.0000 0.9500 0.9711
0.0500 0.9500 0.9508
0.1000 0.9500 0.9254
0.1500 0.9500 0.8952
0.2000 0.9500 0.8604
0.2500 0.9500 0.8214
0.3000 0.9500 0.7785
0.3500 0.9500 0.7321
0.4000 0.9500 0.6828
0.4500 0.9500 0.6311
0.5000 0.9500 0.5774
0.5500 0.9500 0.5223
0.6000 0.9500 0.4665
0.6500 0.9500 0.4103
0.7000 0.9500 0.3545
0.7500 0.9500 0.2994
0.8000 0.9500 0.2457
0.8500 0.9500 0.1937
0.9000 0.9500 0.1438
0.9500 0.9500 0.0966
1.0000 0.9500 0.0522
1.0500 0.9500 0.0109
1.1000 0.9500 -0.0270
1.1500 0.9500 -0.0614
1.2000 0.9500 -0.0922
-0.2000 1.0000 1.0313
-0.1500 1.0000 1.0303
-0.1000 1.0000 1.0238
-0.0500 1.0000 1.0118
-0.0000 1.0000 0.9942
0.0500 1.0000 0.9711
0.1000 1.0000 0.9427
0.1500 1.0000 0.9093
0.2000 1.0000 0.8710
0.2500 1.0000 0.8283
0.3000 1.0000 0.7815
0.3500 1.0000 0.7312
0.4000 1.0000 0.6778
0.4500 1.0000 0.6219
0.5000 1.0000 0.5641
0.5500 1.0000 0.5050
0.6000 1.0000 0.4451
0.6500 1.0000 0.3850
0.7000 1.0000 0.3254
0.7500 1.0000 0.2668
0.8000 1.0000 0.2097
0.8500 1.0000 0.1546
0.9000 1.0000 0.1019
0.9500 1.0000 0.0522
1.0000 1.0000 0.0056
1.0500 1.0000 -0.0375
1.1000 1.0000 -0.0769
1.1500 1.0000 -0.1124
1.2000 1.0000 -0.1440
-0.2000 1.0500 1.0561
-0.1500 1.0500 1.0537
-0.1000 1.0500 1.0455
-0.0500 1.0500 1.0315
-0.0000 1.0500 1.0118
0.0500 1.0500 0.9863
0.1000 1.0500 0.9552
0.1500 1.0500 0.9189
0.2000 1.0500 0.8775
0.2500 1.0500 0.8315
0.3000 1.0500 0.7814
0.3500 1.0500 0.7276
0.4000 1.0500 0.6706
0.4500 1.0500 0.6112
0.5000 1.0500 0.5497
0.5500 1.0500 0.4870
0.6000 1.0500 0.4236
0.6500 1.0500 0.3601
0.7000 1.0500 0.2973
0.7500 1.0500 0.2356
0.8000 1.0500 0.1756
0.8500 1.0500 0.1178
0.9000 1.0500 0.0628
0.9500 1.0500 0.0109
1.0000 1.0500 -0.0375
1.0500 1.0500 -0.0821
1.1000 1.0500 -0.1227
1.1500 1.0500 -0.1592
1.2000 1.0500 -0.1914
-0.2000 1.1000 1.0745
-0.1500 1.1000 1.0709
-0.1000 1.1000 1.0612
-0.0500 1.1000 1.0455
-0.0000 1.1000 1.0238
0.0500 1.1000 0.9962
0.1000 1.1000 0.9628
0.1500 1.1000 0.9239
0.2000 1.1000 0.8799
0.2500 1.1000 0.8312
0.3000 1.1000 0.7781
0.3500 1.1000 0.7213
0.4000 1.1000 0.6613
0.4500 1.1000 0.5988
0.5000 1.1000 0.5343
0.5500 1.1000 0.4685
0.6000 1.1000 0.4022
0.6500 1.1000 0.3359
